IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.17.58.121,4,4,0.00,180.49,18.31,SJC,443
104.16.114.165,4,4,0.00,183.91,18.13,LAX,443
172.64.85.113,4,4,0.00,158.80,18.12,SJC,443
104.24.155.249,4,4,0.00,181.21,17.96,FRA,443
104.16.141.66,4,4,0.00,180.70,17.72,SJC,443
104.16.75.103,4,4,0.00,173.68,17.57,SJC,443
104.17.24.23,4,4,0.00,178.75,17.57,SJC,443
104.17.116.32,4,4,0.00,174.84,17.53,SJC,443
104.27.30.140,4,4,0.00,184.62,17.49,FRA,443
104.21.31.18,4,4,0.00,180.89,17.14,AMS,443
198.41.214.243,4,4,0.00,167.74,17.11,SJC,443
172.66.135.182,4,4,0.00,188.54,17.07,FRA,443
104.16.119.249,4,4,0.00,175.74,17.01,LAX,443
172.67.236.31,4,4,0.00,181.75,16.96,AMS,443
104.16.41.122,4,4,0.00,178.15,16.95,SJC,443
104.24.60.69,4,4,0.00,176.43,16.71,FRA,443
104.20.23.144,4,4,0.00,186.07,16.38,FRA,443
172.66.209.0,4,4,0.00,182.78,16.26,FRA,443
104.16.5.249,4,4,0.00,157.37,16.16,SJC,443
104.21.224.153,4,4,0.00,163.46,15.96,LAX,443
104.17.133.35,4,4,0.00,170.42,15.93,SJC,443
172.64.84.138,4,4,0.00,160.49,15.87,SJC,443
104.16.247.27,4,4,0.00,165.91,15.72,SJC,443
104.17.147.166,4,4,0.00,165.99,15.67,SJC,443
104.16.18.56,4,4,0.00,176.75,15.64,SJC,443
162.159.193.132,4,4,0.00,174.15,15.44,SJC,443
104.21.222.220,4,4,0.00,192.18,15.35,AMS,443
104.21.228.3,4,4,0.00,173.81,15.18,LAX,443
104.19.246.29,4,4,0.00,176.06,15.13,LAX,443
104.17.166.91,4,4,0.00,191.21,14.93,SJC,443
104.16.218.86,4,4,0.00,178.10,14.85,SJC,443
104.17.42.216,4,4,0.00,188.01,14.76,SJC,443
104.27.73.79,4,4,0.00,186.71,14.69,FRA,443
104.17.41.169,4,4,0.00,190.61,14.64,SJC,443
104.24.88.183,4,4,0.00,187.11,14.62,FRA,443
104.17.62.82,4,4,0.00,177.39,14.62,SJC,443
172.66.196.152,4,4,0.00,190.92,14.62,FRA,443
104.16.42.52,4,4,0.00,172.25,14.61,SJC,443
104.17.145.29,4,4,0.00,177.53,14.42,SJC,443
104.16.21.9,4,4,0.00,179.53,14.36,SJC,443
104.16.178.135,4,4,0.00,178.29,14.35,SJC,443
162.159.241.71,4,4,0.00,185.75,14.25,LAX,443
104.17.9.239,4,4,0.00,188.53,14.22,SJC,443
104.16.255.44,4,4,0.00,182.30,14.18,SJC,443
104.16.56.55,4,4,0.00,168.96,14.12,SJC,443
104.16.230.119,4,4,0.00,179.33,14.05,SJC,443
172.64.86.177,4,4,0.00,159.97,13.86,SJC,443
104.16.46.203,4,4,0.00,169.23,13.83,SJC,443
198.41.201.54,4,4,0.00,169.36,13.78,SJC,443
104.16.182.193,4,4,0.00,178.41,13.76,SJC,443
104.17.144.180,4,4,0.00,175.02,13.58,SJC,443
172.64.48.120,4,4,0.00,83.92,13.45,SIN,443
104.16.139.123,4,4,0.00,184.01,13.28,SJC,443
172.64.79.95,4,4,0.00,165.73,13.13,SJC,443
